127.0.0.1 - - [27/Dec/2024:23:48:39 +0200] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [27/Dec/2024:23:49:50 +0200] "GET /signup/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Dec/2024:23:49:51 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4152
0:0:0:0:0:0:0:1 - - [27/Dec/2024:23:49:51 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [27/Dec/2024:23:49:51 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [27/Dec/2024:23:49:51 +0200] "GET /signup/css/bonus.css HTTP/1.1" 200 5033
0:0:0:0:0:0:0:1 - - [27/Dec/2024:23:49:51 +0200] "GET /signup/js/main.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Dec/2024:23:49:51 +0200] "GET /signup/css/style.css HTTP/1.1" 200 19686
0:0:0:0:0:0:0:1 - - [27/Dec/2024:23:49:51 +0200] "GET /signup/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 200 70815
0:0:0:0:0:0:0:1 - - [27/Dec/2024:23:49:51 +0200] "GET /signup/assets/bkg-2.jpg HTTP/1.1" 200 79088
0:0:0:0:0:0:0:1 - - [27/Dec/2024:23:49:51 +0200] "GET /signup/fonts/poppins/poppins-v5-latin-regular.woff2 HTTP/1.1" 200 7904
0:0:0:0:0:0:0:1 - - [27/Dec/2024:23:49:51 +0200] "GET /signup/fonts/poppins/poppins-v5-latin-700.woff2 HTTP/1.1" 200 7832
0:0:0:0:0:0:0:1 - - [27/Dec/2024:23:49:51 +0200] "GET /signup/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 200 38384
0:0:0:0:0:0:0:1 - - [27/Dec/2024:23:49:51 +0200] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [27/Dec/2024:23:50:07 +0200] "POST /signup/login HTTP/1.1" 200 4154
0:0:0:0:0:0:0:1 - - [27/Dec/2024:23:50:07 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [27/Dec/2024:23:50:07 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [27/Dec/2024:23:51:26 +0200] "POST /signup/login HTTP/1.1" 200 22524
0:0:0:0:0:0:0:1 - - [27/Dec/2024:23:51:26 +0200] "GET /signup/assets/logo2.jpg HTTP/1.1" 200 30998
0:0:0:0:0:0:0:1 - - [27/Dec/2024:23:51:26 +0200] "GET /signup/js/scripts.js HTTP/1.1" 200 1648
0:0:0:0:0:0:0:1 - - [27/Dec/2024:23:51:27 +0200] "GET /signup/assets/favicon.ico HTTP/1.1" 200 23462
0:0:0:0:0:0:0:1 - - [27/Dec/2024:23:51:31 +0200] "GET /signup/allTables HTTP/1.1" 200 55054
