127.0.0.1 - - [04/Jan/2025:22:46:09 +0200] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:46:19 +0200] "GET /ddeStore/login.jsp HTTP/1.1" 200 2179
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:46:19 +0200] "GET /ddeStore/alert/dist/sweetalert.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:46:19 +0200] "GET /ddeStore/vendor/jquery/jquery.min.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:46:19 +0200] "GET /ddeStore/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:46:19 +0200] "GET /ddeStore/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:46:19 +0200] "GET /ddeStore/css/bonus.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:46:19 +0200] "GET /ddeStore/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:46:19 +0200] "GET /ddeStore/assets/bkg-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:46:19 +0200] "GET /ddeStore/fonts/poppins/poppins-v5-latin-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:46:19 +0200] "GET /ddeStore/fonts/poppins/poppins-v5-latin-700.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:46:19 +0200] "GET /ddeStore/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:46:26 +0200] "POST /ddeStore/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:46:27 +0200] "GET /ddeStore/DashboardServlet HTTP/1.1" 200 4756
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:46:27 +0200] "GET /ddeStore/assets/logo2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:46:27 +0200] "GET /ddeStore/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:46:38 +0200] "GET /ddeStore/ProductServlet HTTP/1.1" 200 44634
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:46:43 +0200] "GET /ddeStore/AddProductServlet HTTP/1.1" 200 6052
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:46:46 +0200] "GET /ddeStore/ProductServlet HTTP/1.1" 200 44634
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:46:47 +0200] "GET /ddeStore/CategoryServlet HTTP/1.1" 200 12123
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:46:51 +0200] "GET /ddeStore/OrderServlet HTTP/1.1" 200 65883
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:47:05 +0200] "GET /ddeStore/OrderDetailsServlet?orderId=22 HTTP/1.1" 200 5039
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:47:16 +0200] "GET /ddeStore/UserServlet HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:47:16 +0200] "GET /ddeStore/UserServlet HTTP/1.1" 200 32954
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:47:21 +0200] "POST /ddeStore/UserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:47:21 +0200] "GET /ddeStore/UserServlet HTTP/1.1" 200 32939
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:47:22 +0200] "POST /ddeStore/UserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:47:22 +0200] "GET /ddeStore/UserServlet HTTP/1.1" 200 32954
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:47:25 +0200] "GET /ddeStore/logout? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:47:25 +0200] "GET /ddeStore/login.jsp HTTP/1.1" 200 2179
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:47:25 +0200] "GET /ddeStore/alert/dist/sweetalert.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:47:25 +0200] "GET /ddeStore/vendor/jquery/jquery.min.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:47:30 +0200] "POST /ddeStore/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:47:30 +0200] "GET /ddeStore/ProductFilterServlet HTTP/1.1" 200 65750
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:47:31 +0200] "GET /ddeStore/css/user.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:47:31 +0200] "GET /ddeStore/1735590041736_bkg-4.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:47:31 +0200] "GET /ddeStore/null HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:47:31 +0200] "GET /ddeStore/null HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:47:31 +0200] "GET /ddeStore/js/user.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:47:42 +0200] "GET /ddeStore/FilterProductsServlet?categories=Telefoane&priceMin=&priceMax= HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:47:44 +0200] "GET /ddeStore/FilterProductsServlet?categories=Telefoane&colors=Negru&priceMin=&priceMax= HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:47:45 +0200] "GET /ddeStore/ProductFilterServlet?categories=Telefoane&colors=Negru&priceMin=&priceMax= HTTP/1.1" 200 32800
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:47:45 +0200] "GET /ddeStore/null HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:47:45 +0200] "GET /ddeStore/1735590041736_bkg-4.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:47:51 +0200] "POST /ddeStore/FavoritesServlet HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:47:54 +0200] "POST /ddeStore/FavoritesServlet HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:47:54 +0200] "POST /ddeStore/CartAddServlet HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:48:14 +0200] "GET /ddeStore/FilterProductsServlet?categories=Telefoane&brands=Samsung&colors=Negru&priceMin=&priceMax= HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:48:29 +0200] "POST /ddeStore/CartAddServlet HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:48:31 +0200] "GET /ddeStore/CartServlet HTTP/1.1" 200 10555
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:48:31 +0200] "GET /ddeStore/null HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:48:32 +0200] "POST /ddeStore/CartUpdateServlet HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:48:32 +0200] "GET /ddeStore/CartServlet HTTP/1.1" 200 10555
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:48:32 +0200] "GET /ddeStore/null HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:48:33 +0200] "POST /ddeStore/CartUpdateServlet HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:48:33 +0200] "GET /ddeStore/CartServlet HTTP/1.1" 200 10557
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:48:33 +0200] "GET /ddeStore/null HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:48:34 +0200] "POST /ddeStore/CartUpdateServlet HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:48:34 +0200] "GET /ddeStore/CartServlet HTTP/1.1" 200 10557
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:48:34 +0200] "GET /ddeStore/null HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:48:34 +0200] "POST /ddeStore/CartUpdateServlet HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:48:34 +0200] "GET /ddeStore/CartServlet HTTP/1.1" 200 10557
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:48:34 +0200] "GET /ddeStore/null HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:48:38 +0200] "GET /ddeStore/EditUserDetailsServlet?totalPrice=15299.97 HTTP/1.1" 200 6200
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:48:46 +0200] "POST /ddeStore/EditUserDetailsServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:48:46 +0200] "GET /ddeStore/user/orderConfirmation.jsp HTTP/1.1" 200 1317
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:48:49 +0200] "GET /ddeStore/ProductFilterServlet HTTP/1.1" 200 65747
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:48:49 +0200] "GET /ddeStore/null HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:48:49 +0200] "GET /ddeStore/1735590041736_bkg-4.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:48:51 +0200] "GET /ddeStore/FavoritesServlet HTTP/1.1" 200 9601
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:48:51 +0200] "GET /ddeStore/1735590041736_bkg-4.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:48:51 +0200] "GET /ddeStore/null HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:49:01 +0200] "GET /ddeStore/AccountDetailsServlet HTTP/1.1" 200 8401
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:49:10 +0200] "GET /ddeStore/OrderHistoryServlet HTTP/1.1" 200 25884
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:49:14 +0200] "GET /ddeStore/OrderUserDetailsServlet?orderId=23 HTTP/1.1" 200 5771
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:49:17 +0200] "GET /ddeStore/ProductFilterServlet HTTP/1.1" 200 65747
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:49:17 +0200] "GET /ddeStore/null HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:49:17 +0200] "GET /ddeStore/1735590041736_bkg-4.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:49:24 +0200] "GET /ddeStore/ProductFilterServlet?query=samsung HTTP/1.1" 200 34822
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:49:24 +0200] "GET /ddeStore/null HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:49:24 +0200] "GET /ddeStore/1735590041736_bkg-4.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:51:45 +0200] "GET /ddeStore/user/account.jsp HTTP/1.1" 200 3535
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:51:51 +0200] "GET /ddeStore/CartServlet HTTP/1.1" 200 7395
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:51:52 +0200] "GET /ddeStore/FavoritesServlet HTTP/1.1" 200 9601
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:51:52 +0200] "GET /ddeStore/1735590041736_bkg-4.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:51:52 +0200] "GET /ddeStore/null HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:51:54 +0200] "GET /ddeStore/AccountDetailsServlet HTTP/1.1" 200 8401
0:0:0:0:0:0:0:1 - - [04/Jan/2025:22:51:56 +0200] "GET /ddeStore/OrderHistoryServlet HTTP/1.1" 200 25884
