127.0.0.1 - - [21/Nov/2024:12:33:59 +0200] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [21/Nov/2024:12:34:12 +0200] "GET /signup/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2024:12:34:12 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4058
0:0:0:0:0:0:0:1 - - [21/Nov/2024:12:34:12 +0200] "GET /signup/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2024:12:34:12 +0200] "GET /signup/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2024:12:34:12 +0200] "GET /signup/css/bonus.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2024:12:34:12 +0200] "GET /signup/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2024:12:34:12 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:12:34:12 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:12:34:12 +0200] "GET /signup/assets/background-login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2024:12:34:12 +0200] "GET /signup/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2024:12:34:12 +0200] "GET /signup/fonts/poppins/poppins-v5-latin-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2024:12:34:12 +0200] "GET /signup/fonts/poppins/poppins-v5-latin-700.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2024:12:34:13 +0200] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [21/Nov/2024:12:34:21 +0200] "GET /signup/registration.jsp HTTP/1.1" 200 5894
0:0:0:0:0:0:0:1 - - [21/Nov/2024:12:34:21 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:12:34:21 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:12:34:24 +0200] "GET /signup/login.jsp HTTP/1.1" 200 4058
0:0:0:0:0:0:0:1 - - [21/Nov/2024:12:34:25 +0200] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [21/Nov/2024:12:34:25 +0200] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [21/Nov/2024:12:34:31 +0200] "POST /signup/login HTTP/1.1" 200 23836
0:0:0:0:0:0:0:1 - - [21/Nov/2024:12:34:31 +0200] "GET /signup/css/index-styles.css HTTP/1.1" 304 -
